zincid;molecular_formula;binding_energy;charge;2D;binding_energy AD4;standard deviation
ZINC000029125045;C27H4N7O6;-10,4;0;img/ZINC000029125045.jpg;-5,53;0,2
ZINC000150344089;C39H3N5O8;-10,3;0;img/ZINC000150344089.jpg;-4,73;0,32
ZINC000664933375;C17H2N7O5;-10,4;0;img/ZINC000664933375.jpg;-6,27;0,06
ZINC001187616166;C22H4N5O6S;-11;0;img/ZINC001187616166.jpg;-3,41;0,22
ZINC001185181999;C22H5N5O6;-10,5;0;img/ZINC001185181999.jpg;-4,31;0,4
ZINC000257220266;C25HN6O4;-10,2;0;img/ZINC000257220266.jpg;-5,22;0,16
ZINC000066076405;C20BRN6O5S;-10,7;0;img/ZINC000066076405.jpg;-5,14;0,08
ZINC000040846486;C28H2N7OP;-10,3;1;img/ZINC000040846486.jpg;-5,03;0,18
ZINC000002772774;C20HN8O5S;-11;-1;img/ZINC000002772774.jpg;-2,47;0,25
ZINC001142392170;C19H3N7O7;-10,3;0;img/ZINC001142392170.jpg;-3,47;0,31
ZINC001159186634;C16H4N7O2S;-10,1;0;img/ZINC001159186634.jpg;-4,52;0,02
ZINC000101408055;C26H3N9O3S;-10,1;0;img/ZINC000101408055.jpg;-5,01;0,35
ZINC001183585184;C18H2N7O7P;-10,5;-1;img/ZINC001183585184.jpg;-3,96;0,13
ZINC000020623607;C23HCLN7O3;-10,9;0;img/ZINC000020623607.jpg;-6,46;0,1
ZINC000759891753;C20H2N7O3;-10,4;0;img/ZINC000759891753.jpg;-5,44;0,09
ZINC000049833054;C39H4N8O5;-10,2;1;img/ZINC000049833054.jpg;-5,87;0,22
ZINC000015936301;C21HCLN7O;-10,4;0;img/ZINC000015936301.jpg;-6,6;0,27
ZINC000377819991;C34H7N7O9S;-11,2;0;img/ZINC000377819991.jpg;-5,04;0,53
ZINC000766202092;C19H2FN7O4;-10,3;0;img/ZINC000766202092.jpg;-4,74;0,13
ZINC000010233872;C22HFN7O2;-10,2;1;img/ZINC000010233872.jpg;-6;0,22
ZINC000653817197;C24H2N9O4;-10,9;0;img/ZINC000653817197.jpg;-4,46;0,11
ZINC000257281711;C25H3N7O6;-10,2;0;img/ZINC000257281711.jpg;-5,17;0,26
ZINC000015224777;C28N6O3;-11,1;0;img/ZINC000015224777.jpg;-6,47;0,07
ZINC001195127457;C16H3CLN6O8P;-10,2;-1;img/ZINC001195127457.jpg;-3,43;0,34
ZINC000018158864;C19HN8O3;-10,6;0;img/ZINC000018158864.jpg;-4,21;0,24
ZINC000814521130;C19H2N6O6;-10,7;0;img/ZINC000814521130.jpg;-4,04;0,18
ZINC000008216447;C21H6N6O15P2;-10,2;-2;img/ZINC000008216447.jpg;-1,11;0,36
ZINC001194469004;C18H2N6O8P;-10,7;-1;img/ZINC001194469004.jpg;-2,99;0,25
ZINC001158805814;C20H2N6O;-10,7;0;img/ZINC001158805814.jpg;-4,79;0,07
ZINC000302911986;C16HCLF4N5O;-10,2;0;img/ZINC000302911986.jpg;-5,48;0,05
